,Sentence,Aspect Terms,Sentiment
468,Forex - EUR/USD halts slide after Greece scare : Blessings from private creditors is a requirement for Greece to ... http://t.co/oTocibbp,Forex,NEUTRAL
469,Ã¢ÂÂ @ HalaGorani : International community soft words MUST end . Assad is not a reformer he is a Dictator and your silence makes it worst . # Syria Ã¢ÂÂ,HalaGorani,POSITIVE
470,Ã¢ÂÂ @ HalaGorani : International community soft words MUST end . Assad is not a reformer he is a Dictator and your silence makes it worst . # Syria Ã¢ÂÂ,Assad,NEGATIVE
471,"Apple unveils ""the new iPad"" : It's here ! After a long wait filled with much rumor and speculation ( driving tons o ... http://t.co/lkOhpNE7",Apple,NEUTRAL
472,The Future Sound of London - Environments 3 ( 2010 ) : http://bit.ly/bqZpSP,The Future Sound of London,NEUTRAL
473,seo tool s: Need help for facebook by jdpla23 ( http://t.co/apz2UsAv),facebook,NEUTRAL
474,REVOLUTION IN PAKISTAN COMING YOU A GhRE HEARO FOR ALL Ghonim,Ghonim,POSITIVE
475,"Every Aussie should watch this trailer pls RT "" @ deepblueseafilm 'What turns a person into a boat person ? Find out ... http://t.co/znRBFBMr""",deepblueseafilm,POSITIVE
476,Overweight ? Heart Problem ? Any health questions ? Call Dr . V now 212-528-0129 He's Live on WOR710 NY,Dr . V,NEUTRAL
477,Overweight ? Heart Problem ? Any health questions ? Call Dr . V now 212-528-0129 He's Live on WOR710 NY,WOR710,NEUTRAL
478,"Obama Administration Requests More Money for IR S: By Michael Cohn , Accounting Today The Obama administration has ... http://t.co/pxMgtxnX",Obama,NEUTRAL
479,"Obama Administration Requests More Money for IR S: By Michael Cohn , Accounting Today The Obama administration has ... http://t.co/pxMgtxnX",IR S:,NEUTRAL
480,"Obama Administration Requests More Money for IR S: By Michael Cohn , Accounting Today The Obama administration has ... http://t.co/pxMgtxnX",Michael Cohn,NEUTRAL
481,"Obama Administration Requests More Money for IR S: By Michael Cohn , Accounting Today The Obama administration has ... http://t.co/pxMgtxnX",Obama,NEUTRAL
482,#yemen #usa #islam protest infront Pakistani embassy demanding release widow Sheikh Osama bin Laden and her children : http://t.co/HQipqlce,Sheikh Osama bin Laden,NEUTRAL
483,17th SAARC Summit to be held at Addu city in Maldives from November 10-11 http://t.co/dw3a48L7,SAARC,NEUTRAL
484,@tariqal Tariq man I'm gutted I won't be able to be there tonite :'( will the exhibiton just be tonight ?,Tariq,NEUTRAL
485,CHEAP O AIR is the fastest growing VACATION PACKAGE site reknown for its best deals dont miss out http://cli.gs/umsVWA,CHEAP O AIR,POSITIVE
486,see : Berbatov To The Rescue - But Manchester United's Endless Desire To Win Means They Will Always Find A Hero From ... http://bit.ly/gK9mS7,Berbatov,NEUTRAL
487,"#Metallica Tickets for sale , #Adelaide Mon Nov 15th , Gold Reserve 2 ticket s: Section 31 , Row M . $ 330 . Call Michael ... http://fb.me/KZx1ehi9",Michael,NEUTRAL
488,halftime of the NBA finals Dallas leads Miami 44-43 LETS GO HEAT !!!!!!!,NBA,NEUTRAL
489,halftime of the NBA finals Dallas leads Miami 44-43 LETS GO HEAT !!!!!!!,HEAT,POSITIVE
490,"Hm , 81 points for Kim Jong Il , not a bad pick .. Puts me on 3/20 for the year #about2croak",Kim Jong Il,NEUTRAL
491,@RealEstateHQ @ActonBIA @Mone Greetings from Montenegro http://t.co/p1jJhepA,@RealEstateHQ @ActonBIA @Mone,NEUTRAL
492,New blog post : Microsoft Encourages Reputation Management http://t.co/o6ynW54K,Microsoft,NEUTRAL
493,BrightideaHQ : Open Innovation Success for GE â s Healthymagination : 500+ Real Ideas to Fight Cancer : General Elect ... http://t.co/LcR3JMtN,GE,POSITIVE
494,"Roald Dahl : ""We have so much time and so little to do . Strike that , reverse it."" http://bit.ly/aBo0wQ",Roald Dahl,NEUTRAL
495,Ayreon - The Human Equation ( 2004 ) FLAC http://t.co/l20qd7ic,Ayreon,NEUTRAL
496,"Some remains of 9/11 Pentagon , Pa . victims went to landfill - USA TODAY : USA TODAYSome remains of 9/11 Pentagon , ... http://t.co/YNygmL12",USA TODAY,NEUTRAL
497,"Some remains of 9/11 Pentagon , Pa . victims went to landfill - USA TODAY : USA TODAYSome remains of 9/11 Pentagon , ... http://t.co/YNygmL12",USA TODAYSome,NEUTRAL
498,""" @ BillGate s: Met with @NYTimesFriedman to talk about the future of the US . Sharing video Friday . # askbillg""",BillGate s:,NEUTRAL
499,"Today â s Top Storie s: iPad HD Rumors , Colleges Demand Applicants â Facebook Data http://t.co/mhspesy0",Facebook,NEUTRAL
500,@nabbycat I don't make terrariums but @vixlew does . Mine is from her ( & a pretty lil' thing it is too ! ) @muses79,@nabbycat,NEUTRAL
501,@nabbycat I don't make terrariums but @vixlew does . Mine is from her ( & a pretty lil' thing it is too ! ) @muses79,@vixlew,POSITIVE
502,@nabbycat I don't make terrariums but @vixlew does . Mine is from her ( & a pretty lil' thing it is too ! ) @muses79,@muses79,POSITIVE
503,Mahela in 77 runs .... Time to get him out ... 205 for 4 after 44 overs .... Come on India .... Just keep it tight for the next 6 overs ...,Mahela,NEGATIVE
504,@butterschlongs @fionasimpeijun cine . My friend just left .,My friend,NEUTRAL
505,"@CarlosLatuff Dear Carlos I love this cartoon too , it's quite true vision . Thx & go ahead ... support u",Carlos,POSITIVE
506,Artist Kim Itoh and gang enjoying themselves at Cold Stone Creamery at Orchard Central . Who says that work must ... http://t.co/5Jc4reeA,Kim Itoh,POSITIVE
507,Artist Kim Itoh and gang enjoying themselves at Cold Stone Creamery at Orchard Central . Who says that work must ... http://t.co/5Jc4reeA,Cold Stone Creamery,POSITIVE
508,Posted 'Susie Essman - The Dusty Wright Show' to blip.tv : http://blip.tv/file/4030474,'Susie Essman,NEUTRAL
509,Posted 'Susie Essman - The Dusty Wright Show' to blip.tv : http://blip.tv/file/4030474,Dusty Wright,NEUTRAL
510,Confused about bioidentical hormones and hormone replacement therapy . Dr . Minkoff does a great job at explaining ... http://t.co/VnYeNXYw,Dr . Minkoff,POSITIVE
511,Samsung Offers Android 4.0 Ice Cream Sandwich Upgrade for GALAXY devices http://t.co/1Yi2AtIS,Samsung,NEUTRAL
512,Samsung Offers Android 4.0 Ice Cream Sandwich Upgrade for GALAXY devices http://t.co/1Yi2AtIS,Android,NEUTRAL
513,Samsung Offers Android 4.0 Ice Cream Sandwich Upgrade for GALAXY devices http://t.co/1Yi2AtIS,GALAXY,NEUTRAL
514,"New Orleans Saint s: Twitter High , Combine silence and Mario Williams , No ? http://t.co/J0jJ3qGx",New Orleans Saint s: Twitter,NEUTRAL
515,"New Orleans Saint s: Twitter High , Combine silence and Mario Williams , No ? http://t.co/J0jJ3qGx",Mario Williams,NEUTRAL
516,Stand Up Message from the President : â Still time to find a house party near you â http://ow.ly/19oLEz,President,POSITIVE
517,"*Video* Watch Mark Zuckerberg's Surprise ""SNL"" Cameo : http://bit.ly/gHepxY",Mark Zuckerberg's,NEUTRAL
518,"[ Education ] SingTel fined $ 40 , 000 for selling sex-themed mobile phone game s: SingTel has been slapped with a $ 40 ... http://bit.ly/pLJjVW",SingTel,NEGATIVE
519,"[ Education ] SingTel fined $ 40 , 000 for selling sex-themed mobile phone game s: SingTel has been slapped with a $ 40 ... http://bit.ly/pLJjVW",SingTel,NEGATIVE
520,( http://t.co/mo0clj2P) Texans' first playoff season ends with 20-13 loss at Baltimore : http://t.co/83WhgaJr,http://t.co/mo0clj2P) Texans',NEUTRAL
521,( http://t.co/mo0clj2P) Texans' first playoff season ends with 20-13 loss at Baltimore : http://t.co/83WhgaJr,Baltimore,NEUTRAL
522,#nowplaying Aquarius ( Live ) - Within Temptation - [ 2008-Destroyed No.13 ] http://j.mp/lQceu2,Aquarius,NEUTRAL
523,"Corbis launches digital music licensing service : If you're a consumer , finding a buying your favorite tunes is a ... http://t.co/taqAH06M",Corbis,POSITIVE
524,@CyanogenMod http://t.co/p7JU4auP not download HTTP/1.0 500 Internal Server Error,@CyanogenMod,NEUTRAL
525,"To claim twenty free b2b data list records from Responsiva , send an email to info@responsiva.biz and quote ""Twitter Promo""","""Twitter",NEUTRAL
526,"#iLove This Song ... Feat . In Trailer : THE VOW http://t.co/KCJYYNyP 'Rachel McAdams & @ChanningTatum ' http://t.co/HlqSo86c ""WeR"" Joy Williams",'Rachel McAdams,POSITIVE
527,"#iLove This Song ... Feat . In Trailer : THE VOW http://t.co/KCJYYNyP 'Rachel McAdams & @ChanningTatum ' http://t.co/HlqSo86c ""WeR"" Joy Williams",@ChanningTatum,NEUTRAL
528,"#iLove This Song ... Feat . In Trailer : THE VOW http://t.co/KCJYYNyP 'Rachel McAdams & @ChanningTatum ' http://t.co/HlqSo86c ""WeR"" Joy Williams",Joy Williams,POSITIVE
529,"""Racism exists on all fronts and it is the primary most powerful weapon a Liberal politician has . Sen Robert Byrd ... http://t.co/XRPSnAWd",Robert Byrd,NEUTRAL
530,"s-s-c just go and care about yr NSAs three pillars , come and disturb us with RAM for what . tmd .",NSAs,NEUTRAL
531,Optimism is the faith that leads to achievement . Nothing can be done without hope and confidence . -- Helen Keller,Helen Keller,POSITIVE
532,Herbalife Ltd ( NYSE : HLF ) to Present at ICR XChange Conference January 13 - TransWorldNews ( press release ): Herb .. http://bit.ly/6iYdlT,Herbalife Ltd,NEUTRAL
533,Herbalife Ltd ( NYSE : HLF ) to Present at ICR XChange Conference January 13 - TransWorldNews ( press release ): Herb .. http://bit.ly/6iYdlT,ICR,NEUTRAL
534,Herbalife Ltd ( NYSE : HLF ) to Present at ICR XChange Conference January 13 - TransWorldNews ( press release ): Herb .. http://bit.ly/6iYdlT,TransWorldNews,NEUTRAL
535,AUDIO : Falling Sikh population in Afghanistan : British Sikh author Bobby Singh Bansal has travelled to Afghanist ... http://t.co/B5jO2UmA,Bobby Singh Bansal,NEUTRAL
536,"A great back story of a famous photo taken of Terry . The photo was shot by Peter Martin , a long time friend to The ... http://t.co/2MaihQfv",Terry,NEUTRAL
537,"A great back story of a famous photo taken of Terry . The photo was shot by Peter Martin , a long time friend to The ... http://t.co/2MaihQfv",Peter Martin,POSITIVE
538,Iran asks UN to condemn killing of nuclear scientist http://t.co/DgPFnva3,UN,NEUTRAL
539,The Call of True Islam : http://t.co/fEzXEK7,Islam,NEUTRAL
540,Selling to Crazy-Busy Buyers with Jill Konrath http://t.co/xLgHwcyD,Jill Konrath,NEUTRAL
541,"We are pencils in the hand of a writing God , who is sending love letters to the world. -- Mother Teresa",Mother Teresa,NEUTRAL
542,Mariam AL-Khawaja do not represent me nor #Bahrain http://twitition.com/9f4zr,Mariam AL-Khawaja,NEGATIVE
543,Blackhawks bring in center Kruger from Sweden - Chicago Breaking ... http://bit.ly/hwKSYq,Blackhawks,NEUTRAL
544,Blackhawks bring in center Kruger from Sweden - Chicago Breaking ... http://bit.ly/hwKSYq,Kruger,NEUTRAL
545,I posted a new photo to Facebook http://t.co/RkgGMZwM,Facebook,NEUTRAL
546,"""The mind is its own place , and in itself , can make heaven of Hell , and a hell of Heaven."" ~John Milton",~John Milton,NEUTRAL
547,"God our Father , you made St . Benedict an outstanding guide to teach men how to live in your service . Grant that by preferring your love ...",St . Benedict,POSITIVE
548,u guys sucks switch to @android @BlackBerry @BlackBerryHelp,@android @BlackBerry,POSITIVE NEGATIVE
549,Check it out at http://t.co/rKDeNAYt My favourite-are Merino wool red Kamchatka socks-ideal for the Siberian freeze that hit Britain soon .,Kamchatka,POSITIVE
550,Father-in-Law of Missing Utah Mom Charged With Possession of Child Pornography : | AP AP This undated picture mad ... http://t.co/sE8Vubjx,AP AP,NEUTRAL
551,Lukas Podolski reluctant to gamble Germany place with move to Arsenal : â¢ KÃ¶ln striker desperate to play at Euro ... http://t.co/e4eMkLRi,Lukas Podolski,NEUTRAL
552,Lukas Podolski reluctant to gamble Germany place with move to Arsenal : â¢ KÃ¶ln striker desperate to play at Euro ... http://t.co/e4eMkLRi,Germany,NEUTRAL
553,Lukas Podolski reluctant to gamble Germany place with move to Arsenal : â¢ KÃ¶ln striker desperate to play at Euro ... http://t.co/e4eMkLRi,Arsenal,NEUTRAL
554,Lukas Podolski reluctant to gamble Germany place with move to Arsenal : â¢ KÃ¶ln striker desperate to play at Euro ... http://t.co/e4eMkLRi,KÃ¶ln,NEUTRAL
555,http://bit.ly/dO0ycg ! kingston technology Thumbs up for the Do Good Denim Drive,kingston technology,POSITIVE
556,Hey ! Want A Free iPhone 3G S by Trying a Free Trial with Lovefilm & getting some Friends to do the same ! ? promo -http://tinyurl.com/2feylnw,Lovefilm,POSITIVE
557,Kenyan chief foils robbery via Twitter http://t.co/aypqKF3l,Kenyan chief,NEUTRAL
558,Kenyan chief foils robbery via Twitter http://t.co/aypqKF3l,Twitter,NEUTRAL
559,Elvis Presley : Remembering The Singer On The 34th Anniversary Of His Death ( AUDIO ) http://t.co/0NEAW9v via @huffingtonpost,Elvis Presley,POSITIVE
560,Healthy Coffee ( R ) Launches New Powerful Internet Marketing System : PK ) announced that it has launched a new powe ... http://t.co/MZUbSKbT,Healthy Coffee,NEUTRAL
561,Oral-B Triumph 5000- A Solution to All Gum and Teeth Problems http://t.co/hSP8ykLE,Oral-B,POSITIVE
562,CCA meeting tomorrow at 2.30pm . All committee must be present . Members who are interested you can come too,CCA,NEUTRAL
563,@NickKristof Edna Adan is a genuine asset for our country : # Somaliland . Thanks for your support .,Edna Adan,POSITIVE
564,"Just posted ""Google vs . Facebook â Who are you building for ? "" http://bit.ly/dssq2i","""Google",NEUTRAL
565,"Just posted ""Google vs . Facebook â Who are you building for ? "" http://bit.ly/dssq2i",Facebook,NEUTRAL
566,The Cork Cancer Research Centre's test results show that turmeric can kill gullet cancer cells in 24 hours !,Cork Cancer Research Centre's,NEUTRAL
567,I voted to send Dwyane Wade from Miami to the 2012 NBA All-Star Game . http://t.co/QoLVtgof,Dwyane Wade,POSITIVE
568,I voted to send Dwyane Wade from Miami to the 2012 NBA All-Star Game . http://t.co/QoLVtgof,NBA,POSITIVE
569,To all Ganna egy Members .Thank you for being on the page http://t.co/NHZBSX6p,Ganna egy,POSITIVE
570,I liked a @YouTube video http://t.co/QB1SeLvr IN THE COMPANY OF WOLVES ( HQ Live ),@YouTube,NEUTRAL
571,"Check out â The Change is Me â tab on Facebook featuring new blogs of our students , Jason and Tara , and lecturer Siva ! http://t.co/XyRb7dZ2",Facebook,NEUTRAL
572,"Check out â The Change is Me â tab on Facebook featuring new blogs of our students , Jason and Tara , and lecturer Siva ! http://t.co/XyRb7dZ2",Jason,NEUTRAL
573,"Check out â The Change is Me â tab on Facebook featuring new blogs of our students , Jason and Tara , and lecturer Siva ! http://t.co/XyRb7dZ2",Tara,NEUTRAL
574,"Check out â The Change is Me â tab on Facebook featuring new blogs of our students , Jason and Tara , and lecturer Siva ! http://t.co/XyRb7dZ2",Siva,NEUTRAL
575,Sky launching a new IP TV service soon - http://t.co/obagk6sz,Sky,POSITIVE
576,The 2nd Reason Why Forex Traders Fail !! ... http://fb.me/WTcMEwG2,Forex,NEGATIVE
577,: O http://t.co/3sMkY3s 4you Beauty Board tests face creams and lotions neutrogena,neutrogena,NEUTRAL
578,"Tune into Courtesan Candy , Lifestyle Talk Show w/ @ Shoshi & Find out why Sexy is HER Superbowl ! 9 PM EST http://t.co/wiL0VvQI",Shoshi,POSITIVE
579,Sleep is the best meditation ..... Dalai Lama,Dalai Lama,POSITIVE
580,Are You Absolutely Clueless On How To Approach A Girl In The Club : by Wootang01 Are You Absolutely Clueless On How ... http://bit.ly/ctOxK9,Wootang01,NEUTRAL
581,is Twitter trying to kill ppl's english level or encouraging ppl to talk in short ?,Twitter,NEGATIVE
582,"Do me a favour , retweet this if you are a dog owner in Singapore ! I need to add you into my twitter list of dog owners in SG ! Thanks !",twitter,NEUTRAL
583,Immortals edge out Arthur Christmas to take UK No . 1 http://t.co/5HwgfhBo,Arthur Christmas,NEUTRAL
584,Japan Atomic Crisis Eases as Spent-Fuel Pools Cool Below 100C - Bloomberg http://ht.ly/1bRf2i,Bloomberg,NEUTRAL
585,Lee corso just said FUCK IT on live TV,Lee corso,NEUTRAL
586,"Louise Arbour on # wdr2011 , the report will be influential , and poses a huge challenge to operationalize it's framework .",Louise Arbour,NEUTRAL
587,PerfPower â AAA â Alkaline Batteries â 4 Pack http://t.co/7ZnsukUB,PerfPower,NEUTRAL
588,Knocked off loh ! D & D tonight . Went shopping w @bewitchingsmile during lunch !,D & D,POSITIVE
589,Lab Note s: Hope for Men Yet : ( MedPage Today ) -- Looks like the male of the human species is not due for the scra ... http://t.co/fIsRN0ZR,MedPage Today,NEUTRAL
590,Jamiroquai - Corner Of The Earth http://t.co/V1siPlqC vÃÂ­a @youtube,Jamiroquai,NEUTRAL
591,The Grammys are watched . Go 2 sleep ; ),Grammys,NEUTRAL
592,unfortunately couldnt watch the open debate on lottery scam btwn finance minister & V T satheeshan ...... wanna c the highlights .........,finance minister,NEGATIVE
593,unfortunately couldnt watch the open debate on lottery scam btwn finance minister & V T satheeshan ...... wanna c the highlights .........,V T satheeshan,NEUTRAL
594,Why Facebook's New Questions Tool Is Good for Brands & Businesses http://ow.ly/4oJXK,Facebook's,POSITIVE
595,http://t.co/1MbJCdeB Discount Buy Crayola Treasure Adventures http://t.co/S8P9g3ck,Crayola,NEUTRAL
596,The thought of Chappel being Australian almost makes me want India to win today . Is that a bad thing ?,Chappel,NEGATIVE
597,"Does a New York Web Designer Own 84 Percent of Facebook ? : By date : When I first saw the story Wednesday , I thought ... http://bit.ly/94CF40",Facebook,NEUTRAL
598,4 Twitter B2B Case Studies - How Tweets Lead to Business http://bit.ly/fjKHPQ,Twitter,NEUTRAL
599,"The Best Instagram Photos Ever Taken [ PICS ] - As Instagram & # 8217 ; s popularity continues to grow , millions of people ... http://t.co/AvMctDUf",Instagram,NEUTRAL
600,"The Best Instagram Photos Ever Taken [ PICS ] - As Instagram & # 8217 ; s popularity continues to grow , millions of people ... http://t.co/AvMctDUf",Instagram,POSITIVE
601,It is better to have killed a horse than to have never shaved your nipples . -- Albert Einstein,Albert Einstein,NEUTRAL
602,"On behalf of shin , Megaera tweets : I can't speak but I can understand words .",Megaera,NEUTRAL
603,"I'm at Uniprep's Studio A ( Sequis Centre , Mezzazine Floor , Jakarta Capital Region ) http://t.co/jE3b9uG3",Uniprep's,NEUTRAL
604,"after Niki Vasilev , presentation on valuation multiples , presentation on real estate investment , time for a case study ....",Niki Vasilev,NEUTRAL
605,"If we get a brokered convention , I'm supporting @SteveForbesCEO for the #GOP nomination .",@SteveForbesCEO,POSITIVE
606,"""The greatest pleasure in life is doing what people say you cannot do."" - Walter Bagehot",Walter Bagehot,NEUTRAL
607,I just joined LinkedIn and created my professional profile . Join my network . http://t.co/FQIWQfBt #in,LinkedIn,POSITIVE
608,"I am Opening #Facebook after a month , There is just too much stuff to read . So good bye Facebook for another week , Till Exams get over .",#Facebook,NEGATIVE
609,"I am Opening #Facebook after a month , There is just too much stuff to read . So good bye Facebook for another week , Till Exams get over .",Facebook,NEUTRAL
610,Thank you Torri for posting a great photo of this group ! We're proud to stand next to our friends at JTECH ... http://t.co/U6opk25k,Torri,POSITIVE
611,"The Religion in the sight of Allah is Islam."" ( Qur'an 3 : 19 ) In another verse of the Qur'an , ............",Allah,POSITIVE
612,@CUBEENTOFFICIAL please bring b2st to america Seattle ! Or canada ! Please we fans have been waiting for soooo long !,b2st,POSITIVE
613,#nowplaying Joan Amatrading - The very best of .. Memories don't live like people do,Joan Amatrading,POSITIVE
614,How difficult is it to get an NHS dentist ?,NHS,NEUTRAL
615,5 Ways to Stay Motivated with Mark Sanborn http://t.co/nDCtR2Uc http://t.co/WCAtuuTj,Mark Sanborn,POSITIVE
616,Rush Limbaugh Continues To Apologize As Advertiser Boycott Rises To 12 http://t.co/hdNEzyPO,Rush Limbaugh,NEUTRAL
617,"@AchilleEmana hi Emana , I would like to thank you for attending the Saudi match against thailand .",Emana,POSITIVE
618,IBM and HP Dominated Server Sales Last Quarter : IBM and Hewlett-Packard remained the top tw ... http://t.co/904H5lOF http://t.co/SuNDgw5S,IBM,POSITIVE
619,IBM and HP Dominated Server Sales Last Quarter : IBM and Hewlett-Packard remained the top tw ... http://t.co/904H5lOF http://t.co/SuNDgw5S,HP,NEUTRAL
620,IBM and HP Dominated Server Sales Last Quarter : IBM and Hewlett-Packard remained the top tw ... http://t.co/904H5lOF http://t.co/SuNDgw5S,IBM,POSITIVE
621,IBM and HP Dominated Server Sales Last Quarter : IBM and Hewlett-Packard remained the top tw ... http://t.co/904H5lOF http://t.co/SuNDgw5S,Hewlett-Packard,POSITIVE
622,Egypt : ABC News' Christiane Amanpour Exclusive Interview with President Mubarak - ABC News http://abcn.ws/fl3l7Z,ABC News' Christiane Amanpour,NEUTRAL
623,Egypt : ABC News' Christiane Amanpour Exclusive Interview with President Mubarak - ABC News http://abcn.ws/fl3l7Z,President Mubarak,NEUTRAL
624,Egypt : ABC News' Christiane Amanpour Exclusive Interview with President Mubarak - ABC News http://abcn.ws/fl3l7Z,ABC News,NEUTRAL
625,http://t.co/mNzNxkM2 When will the Madoff segment from tonight be available on the website ?,Madoff,NEUTRAL
626,BBC News - Balloon launching world record broken http://t.co/9mgZ6G8i,BBC News,NEUTRAL
627,@JColeNC jCole Ur concert ÃÅ Abu Dhabi was amazing I loved it so much & I love you so much you got a simple style & ur music is so simple,jCole,POSITIVE
628,Little Known Facts About Frasier's Kelsey Grammer ( ContributorNetwork ) http://bit.ly/ooMhgA,Kelsey Grammer,NEUTRAL
629,Little Known Facts About Frasier's Kelsey Grammer ( ContributorNetwork ) http://bit.ly/ooMhgA,ContributorNetwork,NEUTRAL
630,@AchilleEmana Gd luck Emana in the first match in our league,Emana,POSITIVE
631,Have you seen our new FB Page ? - http://t.co/aPeV4t1Z,FB,NEUTRAL
632,"via @kleopatra2009 : Stock up on Frankie B jeans , shorts and legging for up to 60 % off ! Sign up and RT ! http://lx.im/1b0wv - ad",Frankie B,POSITIVE
633,The MomÂs Guide to Traveling w/Kids by Allison Umbricht | @travelal http://bit.ly/ab7D8z | Interview using @vodburner,Allison Umbricht,POSITIVE
634,"As Viadeo Shelves IPO , LinkedIn Set To Begin Trading On Thursday http://tcrn.ch/m9QQVO",Viadeo,NEUTRAL
635,"As Viadeo Shelves IPO , LinkedIn Set To Begin Trading On Thursday http://tcrn.ch/m9QQVO",LinkedIn,NEUTRAL
636,#SriLanka #News 5th & final ODI between SL & Pakistan to be played today http://t.co/uO8b8m9P,Pakistan,NEUTRAL
637,"US Airways Shares Slip Despite Merger Chance , Strong Demand - TheStreet - http://t.co/glyNc2k7",US Airways,NEUTRAL
638,"US Airways Shares Slip Despite Merger Chance , Strong Demand - TheStreet - http://t.co/glyNc2k7",TheStreet,NEUTRAL
639,Play it Sam .. As time goes by .. Play it !,Sam,NEUTRAL
640,Drooled at the Apple store . http://t.co/rBnX98i7,Apple store,POSITIVE
641,I voted for Adam Lambert - Better Than I Know Myself on this week's #VH1Top20 Countdown . http://t.co/VPLeynuU,Adam Lambert,POSITIVE
642,"How To Learn Forex Trading And Earn Money Trading Online - Product DescriptionI am NOT going to promise you huge , ... http://t.co/sjaQ9aVQ",Forex,NEUTRAL
643,#becauseoffacebook revolutions in the Mideast . #Syria army attacking its ppl NOW ! RT ! Spread the word on this genocide by #Assad,#Assad,NEGATIVE
644,How has Twitter influenced your life ? Weigh the pros and con s; then change .,Twitter,NEUTRAL
645,Fuck guys !!! I want a Dodge Challenger lol #RAW,Dodge,POSITIVE
646,"http://t.co/BFPjrESq As promised , Google+ is now obtainable for Google Apps users . Administrators can allow the new service from the control",Google+,POSITIVE
647,"http://t.co/BFPjrESq As promised , Google+ is now obtainable for Google Apps users . Administrators can allow the new service from the control",Google,NEUTRAL
648,We are currently looking for MMO's based in Australia region for very interesting jobs . Contact Mark Foster : mark@dutchgeo.com,Australia,NEUTRAL
649,We are currently looking for MMO's based in Australia region for very interesting jobs . Contact Mark Foster : mark@dutchgeo.com,Mark Foster,NEUTRAL
650,"""An artist is always alone - if he is an artist . No , what the artist needs is loneliness"" Henry Miller",Henry Miller,NEUTRAL
651,Gufiaito Ice Cream http://t.co/n0zD2w8T,Gufiaito Ice Cream,NEUTRAL
652,@ErinPatrick Thanks Erin much appreciated . Cheers Matt @mattconsidine,Erin,POSITIVE
653,@ErinPatrick Thanks Erin much appreciated . Cheers Matt @mattconsidine,Matt,POSITIVE
654,âBamdad | Will # IEC â s Decision Put an End to # Afghanistan â s political crisis ? http://t.co/QwJuRZI via @afbamdad,IEC,POSITIVE
655,"Credit Suisse : 77 % of carrier execs think WP7 will be the third ecosystem , #WP7 will hit 13 % in 2012 http://t.co/kfLDTmg2",Credit Suisse,NEUTRAL
656,Preview - Fade ECB Draghi's optimism : Mario Draghi has played such a pivotal role over the past few weeks it is ... http://t.co/hKHq5ntH,Draghi's,POSITIVE
657,Preview - Fade ECB Draghi's optimism : Mario Draghi has played such a pivotal role over the past few weeks it is ... http://t.co/hKHq5ntH,Mario Draghi,POSITIVE
658,"We have more whores in the Congress than in a Tijuana brothel ! Listen to this man ! ""Defense Secretary Leon ( cont ) http://t.co/H26lHLCe",Congress,NEGATIVE
659,"We have more whores in the Congress than in a Tijuana brothel ! Listen to this man ! ""Defense Secretary Leon ( cont ) http://t.co/H26lHLCe","""Defense Secretary Leon",NEUTRAL NEUTRAL NEGATIVE
660,@bertpix haha . Yup . I know where I wanna go to ma . Depends on where . Sometimes I do solo .,@bertpix,NEUTRAL
661,Malcolm X: A Life of Reinvention ; Audio recording of #Socialism2011 session featuring @brainyandbrawny http://bit.ly/npoCIb,Malcolm X:,NEUTRAL
662,THE INDEPENDENT WE DEMAND AN APOLOGY FOR UNJUSTLY CALLING THE RULERS OF BAHRAIN TYRANN ... http://twitition.com/fxnhh,THE INDEPENDENT,NEGATIVE
663,@Tharwacolamus please RT : Rally for #Syria tomorrow in #NYC by the UN at 1pm . Come support those Syrians literally dying for freedom !!,RT,POSITIVE
664,@Tharwacolamus please RT : Rally for #Syria tomorrow in #NYC by the UN at 1pm . Come support those Syrians literally dying for freedom !!,UN,NEUTRAL
665,@busymommymedia @5minutesformom is pinterest a good place to post kids music videos ? http://t.co/k4BhTXqI,pinterest,NEUTRAL
666,July 26th @MagdalenIslands schooner Julia F.C . was shipwrecked in 1926 http://t.co/EIOmLea,@MagdalenIslands,NEUTRAL
667,July 26th @MagdalenIslands schooner Julia F.C . was shipwrecked in 1926 http://t.co/EIOmLea,Julia F.C,NEUTRAL
668,'Quiet' Arab coalition supports attack on ... JPost - Middle East http://t.co/JYHKCza3 vÃ­a @Jerusalem_Post,JPost,NEUTRAL
669,'Quiet' Arab coalition supports attack on ... JPost - Middle East http://t.co/JYHKCza3 vÃ­a @Jerusalem_Post,@Jerusalem_Post,NEUTRAL
670,"Precise #News - 'No political differences between Fatah , Hama s': Palestinian Authority president says the two pa ... http://t.co/vIqdP3Rm",Fatah,NEUTRAL
671,"Precise #News - 'No political differences between Fatah , Hama s': Palestinian Authority president says the two pa ... http://t.co/vIqdP3Rm",Hama s': Palestinian Authority president,NEUTRAL
672,"I posted 8 photos on Facebook in the album ""Summer Camps ! "" http://fb.me/NR9YCtLH",Facebook,NEUTRAL
673,"Hell nahh ! Each swisher sweet costs $ 3 in Mexico , crazy .",swisher,NEGATIVE
674,Recycled Racer Runs on Veggie Oil and Chocolate : World First Racing proves going green and going fast arent mut .. http://tinyurl.com/ptql8j,World First Racing,POSITIVE
675,@BlackBerryHelp we have bad BB service in STC in KSA . BB stop working now . And this make you loose your customer for another service,BB,NEGATIVE
676,@BlackBerryHelp we have bad BB service in STC in KSA . BB stop working now . And this make you loose your customer for another service,BB,NEGATIVE
677,I'm at Avenue Zon @ jb http://4sq.com/haksS6,Avenue Zon,NEUTRAL
